lon,lat,n,geo,type
41.8309,8.3545,1771,75,0
41.8219,9.2378,170,75,0
41.771,9.3564,192,75,0
41.7718,9.3518,132,75,0
42.3238,9.4489,522,75,0
42.3047,9.4759,604,75,0
41.7539,9.4245,78,75,0
41.7017,9.2077,93,75,0
42.2478,9.4933,71,75,0
41.8332,9.14,348,75,0
41.7694,9.127,109,75,0
42.2357,9.4901,132,75,0
41.8452,9.1295,117,75,0
41.8772,8.3767,4306,75,0
42.2451,9.4909,1358,75,0
41.8464,8.6558,181,75,0
42.0869,9.3291,467,75,0
38.4567,13.9538,1233,75,0
38.0325,14.0435,164,75,0
38.2892,14.106,8807,75,0
38.2943,14.1036,1071,75,0
38.2758,14.1049,2896,75,0
38.2822,14.0969,4222,75,0
38.4773,14.1371,480,75,0
38.4813,14.0674,134,75,0
38.4191,14.1253,185,75,0
41.796,5.9707,2185,75,0
41.8135,5.9946,1538,75,0
41.6747,6.1125,580,75,0
41.4974,6.2949,1609,75,0
38.1735,14.3128,1081,75,0
41.2227,6.6489,891,75,0
40.71,7.1391,372,75,0
40.9777,7.4542,159,75,0
41.5426,7.5047,1877,75,0
41.3307,7.5809,2840,75,0
41.13,6.8953,325,75,0
38.3908014,5.5154234,852,75,0
38.3508,5.361,883,75,0
38.4809,5.7198,381,75,0
38.4519,5.7526,567,75,0
38.4041,5.7871,234,75,0
38.4742,14.1303,230,75,0
38.4891,13.9298,1548,75,0
38.4739,13.9357,464,75,0
38.141,14.0769,90,75,0
37.8696,14.1231,1916,75,0
38.4584,14.1068,3730,75,0
38.4406,14.101,1071,75,0
38.3898,14.1515,101,75,0
38.479,14.0274,109,75,0
38.472,14.1145,668,75,0
38.7376,14.1208,4738,75,0
38.9013,14.1671,3477,75,0
38.788,14.407,1238,75,0
39.1723,14.0248,290,75,0
39.0793,14.0401,690,75,0
38.2154,8.0088,380,75,0
38.019,7.7957,261,75,0
38.1205,7.7378,211,75,0
38.0986,7.7042,241,75,0
38.1859,7.846,145,75,0
38.3267,8.0281,313,75,0
38.3278,8.0292,374,75,0
38.2161,8.0121,234,75,0
37.8949,7.742,181,75,0
37.8964,7.7443,136,75,0
38.175,7.5654,260,75,0
38.1815,7.5669,110,75,0
38.2427479,7.5627488,291,75,0
38.1102,7.7295,393,75,0
38.1294,7.7535,490,75,0
38.1823,7.8354,455,75,0
38.1889,7.8563,166,75,0
38.1599,7.8071,208,75,0
38.4263009,8.0065488,1608,75,0
38.3719,8.0107,1409,75,0
38.3128,8.0787,208,75,0
38.3213,8.0688,181,75,0
38.365313,7.9672633,245,75,0
38.3720407,7.9868547,256,75,0
38.3796832,7.9598774,558,75,0
38.4789,8.053,573,75,0
38.3444,8.1087,416,75,0
38.32,8.083,222,75,0
38.3744,8.093,183,75,0
38.3591,8.1262,235,75,0
38.3688,8.1179,420,75,0
38.3197,8.1211,278,75,0
38.3709,8.1157,485,75,0
38.5383,8.0664,992,75,0
38.522,8.0843,561,75,0
38.4796,8.0669,8427,75,0
38.4443,8.3678,186,75,0
38.2614,6.5734,138,75,0
38.3407,6.6292,161,75,0
38.3527,6.6252,138,75,0
38.3852,6.5419,127,75,0
38.3697,6.5492,132,75,0
39.0921,6.3491,905,75,0
39.0896,6.3625,977,75,0
39.0816,6.4132,645,75,0
39.08540279,6.4208861,156,75,0
39.0946,6.4558,580,75,0
39.0692,6.4896,166,75,0
39.04047556,6.56304494,222,75,0
38.9204,6.6415,2089,75,0
38.9095,6.6239,1368,75,0
