geo,lat,lon,type,n
170,10.40486,13.16489,1,5474
170,10.39414,13.17805,1,569
170,10.22663,12.912,0,180
170,10.2419,12.93193,0,200
170,10.2329,12.92972,0,190
170,10.23327,12.9206,0,235
170,10.2328,12.92977,1,7236
170,10.22661,12.914,1,2374
170,10.24191,12.93195,1,425
170,10.23325,12.9208,1,6747
170,10.187233,13.048791,0,50
170,10.128334,13.079358,0,50
170,10.14449,13.02419,0,40
170,10.14473,13.07754,1,5627
170,10.14869,13.07062,1,663
170,10.14499,13.07419,1,4981
170,10.11108,13.05622,1,201
170,10.31386,13.15927,0,82
170,10.31896,13.16871,0,65
170,10.30647,13.1735,0,80
170,10.35548,13.16414,0,45
170,10.3548,13.16416,1,332
170,10.3189,13.15873,1,182
170,10.32697,13.1737,1,7035
170,10.31322,13.15855,1,5343
170,10.24081,13.15759,0,34
170,10.27246,13.1679,0,45
170,10.31125,13.16262,0,53
170,10.22795,13.17734,1,713
170,10.27248,13.168,1,3004
170,10.24083,13.1576,1,10481
170,10.23401,12.93592,0,82
170,10.24832,12.95024,0,65
170,10.23342,12.93595,0,40
170,10.29851,12.88705,0,100
170,10.23403,12.93594,1,8650
170,10.24834,12.93024,1,2057
170,10.29853,12.88707,1,229
170,10.23753,12.952209999999999,1,3146
170,10.14703,12.92642,0,154
170,10.175599,12.920138,0,150
170,10.22755,12.92884,0,150
170,10.22425,12.92225,0,372
170,10.22428,12.92275,1,5370
170,10.14705,12.92697,1,341
170,10.22757,12.92864,1,7306
170,10.45322,13.22203,0,373
170,10.44849,13.22319,0,360
170,10.45002,13.2224,0,391
170,10.45372,13.22285,1,364
170,10.44851,13.2232,1,7047
170,10.45004,13.2226,1,10390
170,8.75148,12.15388,0,106
170,8.75301,12.15117,0,106
170,8.75239,12.14779,0,90
170,8.75489,12.15578,0,84
170,8.75447,12.1554,0,72
170,8.75411,12.1571,0,60
170,8.76006,12.56553,0,72
170,8.75965,12.56646,0,60
170,8.8074,12.62597,0,36
170,8.80746,12.62546,0,48
170,8.62754,12.43561,0,48
170,8.57151,12.37885,0,84
170,9.56546,11.87686,0,114
170,9.56542,11.87697,0,102
170,9.56805,11.88878,0,192
170,9.5426,11.9475,0,150
170,9.56807,11.8888,1,1926
170,9.54229,11.94739,1,2310
170,9.65066,11.82022,0,564
170,9.65064,11.82037,0,366
170,9.65062,11.8202,1,8214
170,9.65065,11.82038,1,5232
170,9.60546,11.7897,0,204
170,9.60631,11.79649,0,312
170,9.6114,11.89121,0,240
170,9.65012,11.82357,1,966
170,9.60629,11.79659,1,2124
170,9.50691,11.73453,0,198
170,9.51879,11.80065,0,204
170,9.51362,11.76888,1,2316
170,9.51971,11.8024,1,1542
170,9.50861,11.91061,0,90
170,9.51143,11.9326,0,540
170,9.50956,11.92556,1,756
170,9.51032,11.93188,1,1710
170,9.57265,11.76925,0,252
170,9.543,11.69021,0,120
170,9.50876,11.64496,0,72
170,9.5432,11.69024,1,6570
170,9.50662,11.64457,1,2346
170,10.8621,13.6129,0,380
170,10.86215,13.50344,0,380
170,10.8157,13.60542,0,260
170,10.8868,13.61329,0,312
170,10.8474,13.6297,0,65
170,10.8624,13.613,1,836
170,10.86015,13.50347,1,949
170,10.8154,13.60545,1,851
170,10.8744,13.6132,1,1341
170,10.8492,13.6294,1,894
170,10.706948,13.441589,0,183
170,10.69698,13.45115,0,95
170,10.74597,13.41723,0,400
170,10.78742,13.43881,0,800
170,10.78744,13.43882,1,873
170,10.70588,13.44864,1,1168
170,10.768783,13.383457,1,411
170,10.74537,13.41695,1,866
170,10.80424,13.45349,0,585
170,10.80446,13.46029,0,1252
170,10.80178,13.45858,0,924
170,10.81136,13.46391,0,1000
170,10.84419,13.48246,0,285
170,10.82614,13.45817,1,985
170,10.81083,13.45584,1,1809
170,10.81325,13.46234,1,1871
170,10.80526,13.45183,1,2817
170,10.86612,13.51719,0,90
170,10.867749,13.517143,0,25
170,10.8758,13.54101,0,50
170,10.85206,13.50207,1,1050
170,10.788169,13.359448,1,404
170,10.7821,13.35566,1,1368
170,10.7824,13.35568,1,965
170,10.78503,13.3566,1,507
